Count|Name|Street|City/Town|State/County|Zip/Postcode|Phone|URL|Email
156|Orleans RV|1472 Youville Dr|Orleans|ON K1C 2X8|Canada|+1 613-824-0100|http://www.orleansrv.ca|
157|Vernon Mini Storage|765 Rue de Vernon|Gatineau|QC J9J 0E4|Canada|+1 819-771-6795|http://www.vernonministorage.ca|
158|Centre De Pièces Recyclées De L'Outaouais|65 Audet|Gatineau|QC J8Z 1Y1|Canada|+1 819-777-7107|http://www.centredepiecesrecyclees.ca|
160|SMS Rents / Location SMS|1905 Merivale Rd|Nepean|ON K2G 1E7|Canada|+1 613-226-1099|http://www.smsrents.com|
161|Trailica Trailer & RV Sales|1021 Limoges Rd|Limoges|ON K0A 2M0|Canada|+1 613-443-7332|http://www.trailica.com|
163|Ottawa Competitive Construction|3205 Swansea Crescent #11|Ottawa|ON K1G 3W5|Canada|+1 613-736-7369|http://www.occinc.ca|
164|André Lalonde Marine Serv|Main St|Plantagenet|ON K0A 3K0|Canada|+1 613-673-1668|http://www.andrelalonde.com|
165|Graphic Lab|2600 Draper Ave|Ottawa|ON K2H 9A9|Canada|+1 613-290-3406|ottawa.kijiji.ca|
166|Combined Insurance Company|209 150 Isabella|Ottawa|ON K1S 1V7|Canada|+1 613-680-3294|http://www.combined.ca|
167|Central Truck & Trailer|3375 Hawthorne Rd|Ottawa|ON K1G 4G2|Canada|+1 613-739-0090|http://www.centraltt.com|
169|HD Autocare - Ottawa Car Detailing Services|1570 Liverpool Ct|Ottawa|ON K1B 4L2|Canada||http://www.hdauto.ca|
171|Avis|2638 Mac St|Gloucester|ON|Canada||http://www.avis.ca|
172|Farmer Country Store|1849 148 Rte|Luskville|QC J0X 2G0|Canada|+1 819-455-2334|http://www.commercepontiac.ca|
173|Seamless Auto Care|130 Industrial Ave #300|Carleton Place|ON K7C 3T2|Canada|+1 613-257-8558|http://www.seamlessautocare.com|
175|GAL Power|2558 Carp Rd|Carp|ON K0A 1L0|Canada|+1 613-831-3188|http://www.galpower.com|
176|The Low Down|815 Chemin Riverside|Wakefield|QC J0X 3G0|Canada|+1 819-459-2222|http://www.lowdownonline.com|
177|B G M Auto Body|7944 Bank|Metcalfe|ON K0A 2P0|Canada|+1 613-821-3345|http://www.bgmautobody.com|
179|Devlin's Collision Centre and Rust Control|128 Industrial Ave|Almonte|ON K0A 1A0|Canada|+1 613-256-1723|http://www.devlinscollision.com|
180|Cardinal / Ottawa South KOA|609 Pittston Rd|Cardinal|ON K0E 1E0|Canada|+1 613-657-4536|koa.com|
182|Cash for trash|7628 Flewellyn Rd|Ottawa|ON K2S 1B6|Canada|+1 613-831-2900|http://www.cashfortrashcanada.com|
183|Mister Transmission|430 Boulevard Maloney Ouest|Gatineau|QC J8P 6W2|Canada|+1 819-663-2489|http://www.mistertransmission.com|
185|Globe & Mail|55 Colonel By Dr|Ottawa|ON K1N 9J2|Canada|+1 613-236-4467|http://www.theglobeandmail.com|
186|Best Price Automotive Warehouse Inc|1300 Algoma Rd|Ottawa|ON K1B 3W8|Canada|+1 613-746-2378|bestpriceauto-ottawa.com|
187|Jean-Claude Cayer Enterprises Ltd.|708 Limoges Rd|Limoges|ON K0A 2M0|Canada|+1 613-443-2293|http://www.jccayer.com|
188|Bosik Technologies Ltd|2495 Del Zotto Ave|Gloucester|ON K1T 3V6|Canada|+1 613-822-8898|http://www.bosik.com|
201|Ottawa Camping Trailers Ltd|4815 Bank St|Ottawa|ON K1X 1G6|Canada|+1 613-822-2268|http://www.ottawacamping.ca|
202|Competition Composites Inc|168 Wescar Lane RR 2|Carp|ON K0A 1L0|Canada|+1 613-599-6951|http://www.fastcomposites.ca|
203|Biomedical Industry Group|532 Montreal Rd|Ottawa|ON K1K 4R4|Canada|+1 613-745-4139|biomedgroup.com|
204|CAA Travel Store|2026 Tenth Line Rd #7|Ottawa|ON K4A 3W3|Canada|+1 613-841-6441|caaneo.ca|
209|Kanata Rims & Tires|25 Edgewater St|Kanata|ON K2L 1V7|Canada|+1 613-836-8688|http://www.kanatarimsandtires.com|
212|Upper Canada Playhouse|12320 County Road 2|Morrisburg|ON K0C 1X0|Canada|+1 613-543-3713|http://www.uppercanadaplayhouse.com|
213|IAMAW Lodge 2323|1000 Airport Parkway Priv|Ottawa|ON K1V 9B4|Canada|+1 613-523-4709|iamaw2323.ca|
214|McLaughlin Autoparts|Gatineau|QC|Canada||+1 613-762-5488|mclaughlinautoparts.com|
216|Union Auto Parts|5402 Old Richmond Rd|Ottawa|ON K2H 7T9|Canada|+1 613-591-5600|http://www.usedcarparts.ca|
